,29,34,35,36,37,38,39,49,50,51,52,53,54,55,94,99,100,101,102,103,104,114,115,116,117,118,119,120
t_stat,-1.5875992523856626,-0.26057414487666425,-6.144255673689687,-0.14239137490467565,-1.499908316088109,-2.0864981949319588,0.38578905929228374,-2.7093599814362053,0.5623747476844309,-1.8333735093915378,-3.5845832803599627,-4.975668160357708,0.24732578741088118,-1.988011763501111,-3.511451360086093,-1.7985280429469976,-7.9722370397030495,-0.07479669757538623,-2.283565379787969,-3.3819982646380127,-2.2064349066534525,-3.1872225608495866,1.5292910942666773,-0.8353694333788247,-5.960766828386435,-4.000412322334239,-1.0273727603842628,-1.6428603489395681
two_sided_p_value,0.12066415119371199,0.7958278323723023,3.60984937328221e-07,0.8875231859422772,0.14190146283965302,0.04369619187573156,0.7018043327009188,0.01005548769179621,0.5771634541215083,0.0745892155829941,0.0009474922444144819,1.432438733295332e-05,0.8059875562410019,0.05404994666305975,0.0011666004724837972,0.08004060349205777,1.2391527797697555e-09,0.940768846839551,0.028076114464971783,0.0016788721837645727,0.033470547195985814,0.0028717383189162927,0.13447492625006363,0.4087315162541181,6.44387567415663e-07,0.00028204530792994985,0.31074050984318374,0.1086624837553783
p_value,0.060332075596855994,0.39791391618615113,1.804924686641105e-07,0.4437615929711386,0.07095073141982651,0.02184809593786578,0.3509021663504594,0.005027743845898105,0.28858172706075413,0.03729460779149705,0.00047374612220724095,7.16219366647666e-06,0.40299377812050097,0.027024973331529874,0.0005833002362418986,0.040020301746028886,6.195763898848778e-10,0.4703844234197755,0.014038057232485891,0.0008394360918822863,0.016735273597992907,0.0014358691594581463,0.06723746312503182,0.20436575812705904,3.221937837078315e-07,0.00014102265396497493,0.15537025492159187,0.05433124187768915
H0_rejected,False,False,True,False,False,True,False,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False
