,29,34,35,36,37,38,39,49,50,51,52,53,54,55,94,99,100,101,102,103,104,114,115,116,117,118,119,120
t_stat,-2.2297550003420628,-1.7696865274576603,-7.116061273760431,-1.976590593448605,-3.5997536599844273,-3.7271708063720705,0.6590522449336772,-3.1293395469019933,0.3886213903093035,-3.070419536440404,-8.590992665717183,-7.934117773005548,-1.177768434115996,-5.527698482932835,-2.3147219351488384,-1.8690583087422947,-8.525027904004554,-1.8306962526785788,-5.94962570601412,-5.503340481027496,-4.038559046433149,-4.21222703573747,1.991896213250185,-2.1072185914125385,-9.508636655008305,-5.927609829288896,-2.859227398101556,-1.5771334866640507
two_sided_p_value,0.02892750137104995,0.0810730880082901,7.190571404766646e-10,0.051973034329865754,0.0005859622638106146,0.0003857815846572428,0.5119940789265951,0.0025420794387357015,0.698719192205782,0.0030279903817419505,1.3409668669425234e-12,2.215431435671754e-11,0.24282168920255867,5.06296710152789e-07,0.023524218108058274,0.06573942225914092,1.776904357974111e-12,0.0713423812591017,9.248258407372824e-08,5.578097991772549e-07,0.0001342995492295197,7.311757915288598e-05,0.05022937775206996,0.0386319535525368,2.7153192322917655e-14,1.0115654929140926e-07,0.005571285617498962,0.1192103087999339
p_value,0.014463750685524975,0.04053654400414505,3.595285702383323e-10,0.025986517164932877,0.0002929811319053073,0.0001928907923286214,0.25599703946329755,0.0012710397193678507,0.349359596102891,0.0015139951908709752,6.704834334712617e-13,1.107715717835877e-11,0.12141084460127934,2.531483550763945e-07,0.011762109054029137,0.03286971112957046,8.884521789870555e-13,0.03567119062955085,4.624129203686412e-08,2.7890489958862747e-07,6.714977461475984e-05,3.655878957644299e-05,0.02511468887603498,0.0193159767762684,1.3576596161458828e-14,5.057827464570463e-08,0.002785642808749481,0.05960515439996695
H0_rejected,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
