,group 1,group 2,group 3,group 4,group 5
t_stat,-1.5875992523856626,-3.021976903126401,-2.689931912968164,-5.417548123941214,-2.253763480852704
two_sided_p_value,0.12066415119371199,0.002791795139284348,0.007588600818851445,1.3307247742137904e-07,0.02500736868679581
p_value,0.060332075596855994,0.00023264959494036233,0.0005420429156322461,9.50517695866993e-09,0.001786240620485415
group_p_value,0.060332075596855994,0.001395897569642174,0.0037943004094257225,6.653623871068952e-08,0.012503684343397905
H0_rejected,False,True,True,True,True
